number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory
186,4-12-2017,Interview with Fox Business,"Speaking about the battle to retake Mosul from Daesh, also known ISIS and ISIL: ""Look, they're still fighting. Mosul was supposed to last for a week and now they've been fighting it for many months and so many more people died.""","Military officials never predicted that the battle would be completed in a week. The battle was always framed as a long, tough fight.",Mosul a week,no,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/?utm_term=.e1eb5a0a1b56,Middle East,Terrorism,Iraq,,Interviews
187,4-12-2017,Interview with Fox Business,"""Well, as an example, on health care, I won't get one Democrat vote, even though many of them think it's an incredible plan.""","There is no evidence that any Democrat in Congress thinks his health plan is ""incredible."" The plan has been denounced by a wide variety of experts and interest groups, and even many Republicans say it is bad.",Dems support Trumpcare,no,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/?utm_term=.e1eb5a0a1b56,Democrats,Health care,Congress,,Interviews
188,4-12-2017,Interview with Fox Business,"""Obamacare is a disaster. It's really gone. Essentially, it's gone.""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""gone."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/?utm_term=.e1eb5a0a1b56,Health care,Exaggeration,Barack Obama,,Interviews
189,4-12-2017,Interview with Fox Business,"""We're talking about surveillance. It was 'wiretapped' in quotes."" And: ""But I put 'wiretapped' in quotes.""","Trump did use quotation marks in two of his four tweets accusing Obama of improperly surveilling him. However, in the other two, he made the same accusation without quotation marks. ""How low has President Obama gone to tapp (sic) my phones during the very sacred election process,"" he wrote in one; ""I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!"" he wrote in the other.",Wiretapping quotes,Yes,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/?utm_term=.e1eb5a0a1b56,Russian ties,Barack Obama,,,Interviews
190,4-12-2017,Interview with Fox Business,"""The New York Times said the word 'wiretapped' in the headline of the first edition. Then they took it out of there fast when they realized.""","The Times never changed its headline; it simply used different words in its print and online headlines, which is normal.",NYT headline,Yes,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/?utm_term=.e1eb5a0a1b56,Media,Russian ties,,,Interviews
191,4-12-2017,Interview with Fox Business,"""When you look at Susan Rice and what's going on, and so many people are coming up to me and apologizing now. They're saying you know, you were right when you said that. Perhaps I didn't know how right I was, because nobody knew the extent of it.""","Susan Rice, Obama's national security adviser, was criticized by some on the right over her decision during the 2016 campaign to request the identities of certain people anonymously mentioned in U.S. intelligence reports, possibly including Trump ally and future national security adviser Michael Flynn. But there is no indication that Rice did anything wrong, or even unusual, and even if she did, this would not make Trump correct for claiming Obama had wiretapped him.",Right on Rice,no,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/?utm_term=.e1eb5a0a1b56,Barack Obama,Democrats,US intelligence,Russian ties,Interviews
192,4-12-2017,Interview with Fox Business,"About his failure to make executive appointments: ""I am waiting right now for so many people. Hundreds and hundreds of people. And then they'll say, why isn't Trump doing this faster? You can't do it faster, because they're obstructing. They're obstructionists.""",Trump's glacial pace has nothing to do with Democratic obstruction. He simply isn't nominating people for posts.,Slow appointments,no,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/?utm_term=.e1eb5a0a1b56,Democrats,Trump White House,,,Interviews
193,4-12-2017,Interview with Fox Business,"""I mean the car industry is not going to leave us anymore, believe me. The car industry is staying in our country. They were leaving. If I didn't win this election, you would have lost your car industry to Mexico and to other countries.""","Though some production has shifted abroad and continues to do so, the industry certainly was not at risk of vanishing before Trump took office: domestic production increased from 5.8 million vehicles in 2009, during the financial crisis, to 11.8 million vehicles in 2015, according to the American Automotive Policy Council.",Car industry stayed,no,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/?utm_term=.e1eb5a0a1b56,Economy,,,,Interviews
194,4-16-2017,Twitter,"""I did what was an almost an impossible thing to do for a Republican-easily won the Electoral College!""","It has never been ""almost an impossible thing"" for a Republican to win by a large margin in the Electoral College. since the 1870s, every elected Republican president except for George W. Bush and Richard Nixon (in 1968) has won a bigger share of the Electoral College than Trump did.",Impossible to win,Yes,https://twitter.com/realDonaldTrump/status/853595628655587334,Election,Democrats,,,Twitter
195,4-17-2017,Twitter,"""The super Liberal Democrat in the Georgia Congressioal (sic) race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!""",There is no evidence for any of these claims about Jon Ossoff.,Ossoff policies,no,https://twitter.com/realDonaldTrump/status/853964023846588420,Democrats,Congressional races,,,Twitter
196,4-18-2017,Twitter,"""Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for Jobs and wants higher taxes.""","""Very weak on crime and illegal immigration"" and ""bad for Jobs"" are matters of opinion, but there is no evidence for the specific assertion that Ossoff, the Democratic candidate running in a special election in Georgia's 6th congressional district, wants higher taxes.",Ossoff crime,no,https://twitter.com/realDonaldTrump/status/854283110191685634,Democrats,Congressional races,,,Twitter
197,4-18-2017,Twitter,"""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!""","Both PolitiFact and FactCheck.org looked into this claim and found it false. MS-13 originated in the 1980s; the Obama administration attempted to crack down on MS-13 by freezing its U.S. assets; experts say its growth had little or nothing to do with Obama. ""The big surge was during Bush-Cheney when the drivers of illegal migration in Central America grew, when various crackdowns on crime-filled prisons to bursting point, and when funding for rehabilitation programs declined,"" Fulton T. Armstrong, research fellow at the Center for Latin American and Latino Studies at American University, told PolitiFact.",Obama MS-13,no,https://twitter.com/realDonaldTrump/status/854268119774367745,Barack Obama,Immigration,Crime,MS-13,Twitter
198,4-23-2017,Interview with the Associated Press,"""On any, on air, (CBS Face the Nation host John) Dickerson had 5.2 million people. It's the highest for Face the Nation or as I call it, 'Deface the Nation.' It's the highest for 'Deface the Nation' since the World Trade Center. Since the World Trade Center came down. It's a tremendous advantage.""","Trump is correct in his boast that the ratings for his interview in Jan. 2016 were the show's highest since the week of the Sept. 11, 2001 terror attacks. But he is off on his numbers, again: the show drew 4.6 million viewers, not 5.2 million.",FTN ratings,no,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Media,Exaggeration,,,Interviews
199,4-23-2017,Interview with the Associated Press,"""I have, seem to get very high ratings. I definitely. You know Chris Wallace had 9.2 million people, it's the highest in the history of the show. I have all the ratings for all those morning shows. When I go, they go double, triple. Chris Wallace, look back during the Army-Navy football game, I did his show that morning. It had 9.2 million people. It's the highest they've ever had.""","The show drew 2.3 million viewers, so Trump was off by 6.9 million. He drew the second-highest ratings in the history of the show, not the highest.",Wallace ratings,no,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Media,Exaggeration,,,Interviews
200,4-23-2017,Interview with the Associated Press,"""(Democratic Rep. Elijah Cummings) said 'you will be the greatest president.' He said 'you will be, in front of five, six people, he said you will be the greatest president in the history of this country.'""","This is a claim on which we can only judge the duelling accounts of the two men involved; there's no hard proof either way. But Trump's claim is so nonsensical that it is obviously inaccurate: Cummings has been a sharp critic of Trump. He explained that he told Trump that ""he could be a great president if, if, if he takes steps to truly represent all Americans rather than continuing on the divisive and harmful path he is currently on.""",Cummings support,no,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Democrats,,,,Interviews
201,4-23-2017,Interview with the Associated Press,"Speaking about Supreme Court Justice Neil Gorsuch: ""I mean, here's a judge who is No. 1 at Columbia, No. 1 at Harvard and an Oxford scholar. And he got three votes (from Democratic senators).""","Gorsuch was not tops in his class at Harvard; in fact, he was not even in the top 10 per cent. He graduated ""cum laude,"" failing to qualify for ""magna cum laude"" or ""summa cum laude.""",Gorsuch top in class,Yes,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Courts,Exaggeration,,,Interviews
202,4-23-2017,Interview with the Associated Press,"""So (Hillary Clinton) had this massive advantage, she spent hundreds of millions of dollars more money than I spent. Hundreds of millions ... Yeah. Or more, actually because we were $375 she was at $2.2 billion. But whatever.""","Clinton vastly outspent Trump, but not by nearly as much as he claimed. As of Dec. 9, a month after the election, Bloomberg reported that Clinton had spent $969 million, Trump $531 million; Clinton-supporting ""Super PACs"" had spent $215 million, Trump-supporting Super PACs $86 million. All together, then, the total was about $1.2 billion to $0.6 billion.",Clinton spending,Yes,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Hillary Clinton,Exaggeration,Election,,Interviews
203,4-23-2017,Interview with the Associated Press,"Speaking about China: ""Look, he turned down many coal ships. These massive coal ships are coming where they get a lot of their income. They're coming into China and they're being turned away. That's never happened before.""","China has turned away coal ships before. Though the Chinese government denied media reports that it was doing so in February and March of 2016, it officially announced in December 2016 that it would block the ships for about a month to support UN Security Council sanctions aimed at curbing the North Korean nuclear program.",China coal,no,https://apnews.com/c810d7de280a47e88848b0ac74690c83,China,Trade,Energy,North Korea,Interviews
204,4-23-2017,Interview with the Associated Press,"""When WikiLeaks came out ... never heard of WikiLeaks, never heard of it.""","Trump had heard of WikiLeaks years before the organization published emails that had been hacked from Democratic Party officials in 2016. CNN's Andrew Kaczynski discovered a 2010 interview in which Trump had described WikiLeaks as ""disgraceful.""",Dont know WikiLeaks,no,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Russian ties,WikiLeaks,,,Interviews
205,4-23-2017,Interview with the Associated Press,"""You saw what happened yesterday in my statements, because if you look at the dairy farmers in Wisconsin and upstate New York, they are getting killed by NAFTA.""","The Canada-U.S. dairy dispute Trump complained about, over ultrafiltered milk, is not an issue on which anyone is getting killed by NAFTA: Canadian dairy is not included in NAFTA.",Killed by dairy,no,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Trade,Canada,Farmers,NAFTA,Interviews
206,4-23-2017,Interview with the Associated Press,"""You know, back when they did NATO there was no such thing as terrorism.""","This claim is obviously absurd. NATO was founded in 1949. The First World War was precipitated by a terrorist assassination of Archduke Franz Ferdinand in 1914, and the 1800s were dotted with major terror attacks. But we don't even have to go that far back: in 1948, Arab terrorists' bombings targeted Jews in Egypt and Israel, and the Zionist Irgun continued a campaign of attacks against Palestinians.",NATO terror,Yes,https://apnews.com/c810d7de280a47e88848b0ac74690c83,NATO,Terrorism,,,Interviews
207,4-23-2017,Interview with the Associated Press,"""They had a quote from me that NATO's obsolete. But they didn't say why it was obsolete. I was on Wolf Blitzer, very fair interview, the first time I was ever asked about NATO, because I wasn't in government ... So they asked me, Wolf ... asked me about NATO ...""","Trump did not tell CNN's Blitzer that NATO was obsolete. He made the ""obsolete"" remark the next day, in an interview with Bloomberg. Then he kept repeating it in other interviews and on Twitter.",Blitzer NATO,no,https://apnews.com/c810d7de280a47e88848b0ac74690c83,NATO,Media,,,Interviews
208,4-23-2017,Interview with the Associated Press,"""The Democrats, they have a big advantage in the electoral college. Big, big, big advantage ... The electoral college is very difficult for a Republican to win."" And: ""The election has, you know, look, the Democrats had a tremendous opportunity because the electoral college, as I said, is so skewed to them. You start off by losing in New York and California, no matter who it is ... The Electoral College is so skewed in favour of a Democrat that it's very, very hard.""","The existence of Democratic-leaning states does not mean the Electoral College is skewed in favour of Democrats. By the same token, Republican candidates currently ""start off"" by near-automatically winning most of the states in the south. This merely suggests the existence of voter preferences, not structural bias. To the extent there is a ""skew,"" though, it is toward smaller states that currently lean Republican. Republican-leaning Wyoming, with just 586,000 people, gets three electoral votes, one per 195,000 people; Democratic-leaning California, with 37 million people, gets 55 electoral votes, one per 673,000 people.",Impossible to win,Yes,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Election,Democrats,California,,Interviews
209,4-23-2017,Interview with the Associated Press,"""But President Xi, from the time I took office, he has not, they have not been currency manipulators. Because there's a certain respect because he knew I would do something or whatever.""","China stopped devaluing its currency and started spending billions attempting to prop up its currency before Trump took office, while he was still wrongly claiming that it was attempting devaluation.",China currency,Yes,https://apnews.com/c810d7de280a47e88848b0ac74690c83,China,Trade,,,Interviews
210,4-23-2017,Interview with the Associated Press,"""I've done more than any other president in the first 100 days.""","This is not even close to true. The AP writes in its own fact check: ""Of 38 specific promises Trump made in his 100-day 'contract' with voters, he's accomplished 10, mostly through executive orders that don't require legislation ... Of the 10 pieces of legislation he promised, none has been achieved and most have not been introduced, with the notable exception of the health care overhaul that was put in play but withdrawn from Congress because of insufficient support.""",More in 100,no,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Exaggeration,,,,Interviews
211,4-23-2017,Interview with the Associated Press,"About his progress toward his 100-days promises: ""Well, I'm mostly there on most items.""","He is nowhere close. The AP writes in its own fact check: ""Of 38 specific promises Trump made in his 100-day 'contract' with voters, he's accomplished 10, mostly through executive orders that don't require legislation ... Of the 10 pieces of legislation he promised, none has been achieved and most have not been introduced, with the notable exception of the health care overhaul that was put in play but withdrawn from Congress because of insufficient support.""",Hundred-day contract,Yes,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Exaggeration,Promises,,,Interviews
212,4-23-2017,Interview with the Associated Press,"About his 100-day Contract With The American Voter: ""Somebody, yeah, somebody put out the concept of a hundred-day plan.""","It was Trump himself who put out this plan. It even includes his signature. Trump does not explicitly say that the ""somebody"" was somebody other than himself, but this is at very least extremely misleading.",Hundred-day contract,Yes,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Trump White House,Promises,,,Interviews
213,4-23-2017,Interview with the Associated Press,"""I saved $725 million on the 90 planes. Just 90. Now there are 3,000 planes that are going to be ordered. On 90 planes I saved $725 million. It's actually a little bit more than that, but it's $725 million. ... And the reason they cut -- same planes, same everything -- was because of me. I mean, because that's what I do.""","This remains untrue: Trump was not responsible for these savings. Lockheed Martin had been moving to cut the price well before Trump was elected, multiple aviation and defence experts say. Just a week after Trump's election, the head of the F-35 program announced a reduction of 6 to 7 per cent -- in the $600 million to $700 million range. ""Trump's claimed $600 million cut is right in the ballpark of what the price reduction was going to be all along,"" wrote Popular Mechanics. ""Bottom line: Trump appears to be taking credit for years of work by the Pentagon and Lockheed,"" Aviation Week reported, per the Washington Post.",F-35 savings,Yes,https://apnews.com/c810d7de280a47e88848b0ac74690c83,Military,Exaggeration,,,Interviews
214,4-29-2017,Remarks at signing of executive orders on trade,"""The National Manufacturers survey found the highest level of optimism in the history of a very, very old survey. It's been around for a long time. It just last week hit the highest point it's ever hit in the history of the survey.""","Trump is correct that the National Association of Manufacturers' Manufacturers' Outlook Survey -- which is 20 years old -- recently hit an all-time optimism high: 93 per cent of manufacturers said they were positive about their economic outlook. But the survey was released on March 31, not ""last week."" Since he launched his campaign, Trump has repeatedly claimed that positive events that actually occurred weeks prior had happened ""ast week.""",Manufacturer optimism,Yes,https://www.whitehouse.gov/the-press-office/2017/04/29/remarks-president-trump-signing-executive-orders-trade,Economy,,,,Informal remarks at events
215,4-30-2017,Interview with CBS's John Dickerson,"""You have Podesta, who, by the way, I understand has a company with his brother in Russia...""","John Podesta, who served as chairman as Hillary Clinton's campaign, does not have a company in Russia, either alone or with his brother Tony Podesta, a prominent lobbyist. Tony Podesta does not have any company in Russia, a spokesman for his company says.",John Podesta company,Yes,http://www.cbsnews.com/news/face-the-nation-transcript-april-30-2017-president-trump/,Hillary Clinton,Russian ties,,,Interviews
216,4-30-2017,Interview with CBS's John Dickerson,"""I did say I would call China, if they were, a currency manipulator early in my tenure. And then I get there. Number one, they -- as soon as I got elected, they stopped. They're not going -- it's not going down anymore, their currency.","Trump's timeline is incorrect: China stopped devaluing its currency in 2014, long before took office -- through he was still calling China a currency manipulator throughout his 2016 campaign.",China currency,Yes,http://www.cbsnews.com/news/face-the-nation-transcript-april-30-2017-president-trump/,China,Trade,,,Interviews
217,4-30-2017,Interview with CBS's John Dickerson,"""Obamacare is dead.""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,http://www.cbsnews.com/news/face-the-nation-transcript-april-30-2017-president-trump/,Health care,Exaggeration,Barack Obama,,Interviews
218,4-30-2017,Interview with CBS's John Dickerson,"""I'll tell you who doesn't cover preexisting conditions. Obamacare. You know why? It's dead.""","Obamacare requires that insurers provide coverage even to people with preexisting health issues. Pretending that it is ""dead"" does not make this requirement vanish.",Obamacare preexisting,no,http://www.cbsnews.com/news/face-the-nation-transcript-april-30-2017-president-trump/,Barack Obama,Health care,Exaggeration,,Interviews
219,4-30-2017,Twitter,"""You can't compare anything to ObamaCare because ObamaCare is dead.""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://twitter.com/realdonaldtrump/status/858659215451271168?lang=en,Exaggeration,Barack Obama,Health care,,Twitter
220,5-2-2017,Speech at Commander-in-Chief Trophy football award ceremony,"""This includes swiftly replacing ineffective and failing fencing and walls with an unbreakable barrier. So we're putting up a lot of new walls in certain areas. We're putting up a tremendous amount of money to fix the existing structures that we have, some of which we can keep into the future.""","Trump is not ""putting up a lot of new walls"" along the border; the agreement to fund the government through September ""doesn't have money to build any new fencing or walls,"" the Associated Press reported, merely to repair existing fencing.",New walls,no,https://www.whitehouse.gov/the-press-office/2017/05/02/remarks-president-trump-presentation-commander-chief-trophy-united,Immigration,,,,Speeches
221,5-2-2017,Speech at Commander-in-Chief Trophy football award ceremony,"""I love the Air Force. I love those planes. I love buying those planes at a reduced price. I have been really -- I have cut billions -- I have to tell you this, and they can check, right, Martha? I have cut billions and billions of dollars off plane contracts sitting here. Do they give me credit? No, but that's OK.""","Trump isn't getting credit for making ""billions and billions of dollars"" in cuts because he did not make such cuts. The federal government has reduced the cost of its F-35 program by an estimated $700 million; even if Trump were to continue to (falsely) claim credit for these savings, they do not amount to billions.",F-35 savings,Yes,https://www.whitehouse.gov/the-press-office/2017/05/02/remarks-president-trump-presentation-commander-chief-trophy-united,Military,Exaggeration,,,Speeches
222,5-4-2017,Twitter,"""Insurance companies are fleeing ObamaCare - it is dead.""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://twitter.com/realdonaldtrump/status/860191508619722752?lang=en,Health care,Exaggeration,Barack Obama,,Twitter
223,5-4-2017,Remarks on House vote on health care,"On Obamacare: ""It's dead.""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://www.whitehouse.gov/the-press-office/2017/05/04/remarks-president-trump-healthcare-vote-house-representatives,Health care,Exaggeration,Barack Obama,,Informal remarks at events
224,5-5-2017,Twitter,"""Why is it that the Fake News rarely reports Ocare is on its last legs and that insurance companies are fleeing for their lives? It's dead!""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://twitter.com/realdonaldtrump/status/860637673744195584,Health care,Exaggeration,Barack Obama,,Twitter
225,5-5-2017,Twitter,"""Of course the Australians have better healthcare than we do - everybody does. ObamaCare is dead!""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://twitter.com/realdonaldtrump/status/860573284462669824?lang=en,Health care,Exaggeration,Barack Obama,,Twitter
226,5-5-2017,Weekly address,"""We pay the highest taxes anywhere in the world. No country is higher.""","The U.S. corporate tax rate is among the highest in the world, as Trump correctly said a few sentences later in this address. But it is actually below average when all taxes are included.",Highest tax,Yes,https://www.whitehouse.gov/the-press-office/2017/05/05/president-donald-j-trumps-weekly-address,Economy,Exaggeration,Taxes,,Weekly addresses
227,5-5-2017,Weekly address,"""Right now, America's businesses are taxed at the single highest rate in the developed world. This is a self-inflicted economic wound that sends jobs to other countries. And believe me, before I got here, they were fleeing fast, but we've stopped it.""",There is no evidence that companies have stopped sending jobs to other countries during Trump's presidency.,Companies leaving,Yes,https://www.whitehouse.gov/the-press-office/2017/05/05/president-donald-j-trumps-weekly-address,Economy,Jobs,,,Weekly addresses
228,5-7-2017,Twitter,"""Republican Senators will not let the American people down! ObamaCare premiums and deductibles are way up - it was a lie and it is dead!""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://twitter.com/realdonaldtrump/status/861201362834665472,Health care,Exaggeration,Barack Obama,,Twitter
229,5-10-2017,Twitter,"""For years, as a pol in Connecticut, (Democratic Sen. Richard) Blumenthal would talk of his great bravery and conquests in Vietnam - except he was never there.""","Here, Trump takes a kernel of truth and turns it into a false claim. He is correct that Blumenthal falsely claimed he had served in Vietnam, when, in fact, Blumenthal had obtained several deferments and eventually served in the Marine Reserve in the U.S. But Blumenthal did not speak of ""his great bravery and conquests"" in Vietnam, merely of being there.",Blumenthal Vietnam,Yes,https://twitter.com/realdonaldtrump/status/862283792559616000,Democrats,,,,Twitter
230,5-11-2017,Interview with The Economist,"""We're the highest-taxed nation in the world.""","The U.S. corporate tax rate is among the highest in the world, as Trump correctly said a few sentences later in this address. But it is actually below average when all taxes are included.",Highest tax,Yes,http://www.economist.com/Trumptranscript,Economy,Exaggeration,Taxes,,Interviews
231,5-11-2017,Interview with The Economist,"""(The U.S.) has about a $15 billion trade deficit with Canada.""","According to the website of the U.S.'s own Trade Representative: ""The U.S. goods and services trade surplus with Canada was $12.5 billion in 2016."" Even when only counting trade in goods, it is a $12 billion deficit, not $15 billion.",Canada deficit,Yes,http://www.economist.com/Trumptranscript,Canada,Trade,NAFTA,Exaggeration,Interviews
232,5-11-2017,Interview with The Economist,"""Have you heard that expression (prime the pump) used before? Because I haven't heard it. I mean, I just...I came up with it a couple of days ago and I thought it was good.""","Trump did not invent this expression, of course. The phrase ""prime the pump"" has been used in the context of government expenditures since at least 1933, the Merriam-Webster dictionary said on Twitter. What's more, Trump himself used the phrase in December.",Priming the pump,no,http://www.economist.com/Trumptranscript,Economy,,,,Interviews
233,5-11-2017,Interview with The Economist,"""I don't know who the people are that would put us into a NAFTA, which was so one-sided. Both from the Canada standpoint and from the Mexico standpoint. So one-sided. Wilbur (Ross, the secretary of commerce) will tell you that, you know, like, at the court in Canada, we always lose.""","Trump is wrong to say that NAFTA disputes are decided at a ""court in Canada."" The agreement includes a special arbitration process separate from the domestic courts of either Canada or the U.S.",NAFTA disputes,no,http://www.economist.com/Trumptranscript,Canada,Trade,NAFTA,,Interviews
234,5-11-2017,Interview with The Economist,"""Obamacare is dead, just so we understand. Obamacare is absolutely dead...there is no Obamacare, it's dead.""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,http://www.economist.com/Trumptranscript,Health care,Exaggeration,Barack Obama,,Interviews
235,5-11-2017,Interview with The Economist,"""Of course by China standards, it's very short (laughter), you know when I'm with (Xi Jinping), because he's great, when I'm with him, he's a great guy. He was telling me, you know they go back 8,000 years, we have 1776 is like modern history.""","Chinese officials always claim that China has 5,000 years of history, not 8,000 years.",China history,Yes,http://www.economist.com/Trumptranscript,China,Exaggeration,Xi Jinping,,Interviews
236,5-11-2017,Interview with The Economist,"""Number two, they're actually not a currency (manipulator). You know, since I've been talking about currency manipulation with respect to them and other countries, they stopped.""","Trump's timeline is incorrect: China stopped devaluing its currency in 2014, a year before he launched his campaign and began claiming that they were a ""champion"" of currency devaluation.",China currency,Yes,http://www.economist.com/Trumptranscript,China,Trade,,,Interviews
237,5-11-2017,Interview with The Economist,"""Part of the problem with NAFTA is that Mexico's a VAT. So Mexico is paying almost...we pay 17 per cent. So we are now down 17 per cent, going into Mexico when we trade. So that's like, you have a football team and every time they play a game, they're down, you know, 25 points. How can you possibly do good?""","This is so inaccurate as to be incomprehensible. As economists have pointed out since Trump began making this claim during his campaign, Trump is wrong to describe Mexico's value added tax as a trade disadvantage. Unlike a tariff that applies only to goods imported from abroad, Mexico's VAT is applied on all goods consumed in Mexico -- whether they are made in Mexico or made in the U.S.",Mexico VAT,no,http://www.economist.com/Trumptranscript,Mexico,Trade,NAFTA,,Interviews
238,5-11-2017,Interview with NBC's Lester Holt,"""The Electoral College is almost impossible for a Republican to win. Very hard. Because you start off at such a disadvantage.""","It is, of course, not ""almost impossible"" for a Republican to win the presidency. Six of the last nine presidents have been Republicans -- and since the 1870s, every elected Republican president except for George W. Bush and Richard Nixon (in 1968) has won a bigger share of the Electoral College than Trump did.",Impossible to win,Yes,https://www.youtube.com/watch?v=5Wvuw_Zmubg,Election,Democrats,,,Interviews
239,5-11-2017,Interview with NBC's Lester Holt,"""The other thing is the Russians did not affect the vote. And everybody seems to think that.""","Many people -- including much of the Democratic Party -- do not agree. While the true impact of the hacking is impossible to prove either way, it is inaccurate to say there is a consensus view that it was inconsequential.",Russia effect,no,https://www.youtube.com/watch?v=5Wvuw_Zmubg,Election,Russian ties,,,Interviews
240,5-11-2017,Interview with Time ,"""When I did (Stephen Colbert's) show, which by the way was very highly rated. It was high -- highest rating. The highest rating he's ever had.""","His episode did not give Colbert his highest rating. Colbert's first episode drew 6.6 million viewers, compared to 4.6 million for the Trump show.",Colbert ratings,no,http://time.com/4775040/donald-trump-time-interview-being-president/,Media,Exaggeration,,,Interviews
241,5-11-2017,Interview with Time ,"""I don't watch CNN.""","All available evidence suggests that Trump is at least an occasional CNN viewer. Though he has repeatedly claimed since May 2016 that he was boycotting the network, he has frequently commented on its content within a week of doing so -- sometimes live, during a show. In this interview, he followed his claim to not watch CNN with a detailed critique of hosts Don Lemon and Chris Cuomo, plus a review of panel shows on which ally Jeffrey Lord tries to defend him.",Dont watch CNN,Yes,http://time.com/4775040/donald-trump-time-interview-being-president/,Media,,,,Interviews
242,5-11-2017,Interview with Time ,"""But they said the F-35 program is now straightened out and the costs are way down. They're down because of me.""","Trump was not responsible for these savings: Lockheed Martin had been moving to cut the price well before Trump was elected, multiple aviation and defence experts say. Just a week after Trump's election, the head of the F-35 program announced a reduction of 6 to 7 per cent -- in the $600 million to $700 million range. ""Trump's claimed $600 million cut is right in the ballpark of what the price reduction was going to be all along,"" wrote Popular Mechanics. ""Bottom line: Trump appears to be taking credit for years of work by the Pentagon and Lockheed,"" Aviation Week reported, per the Washington Post.",F-35 savings,Yes,http://time.com/4775040/donald-trump-time-interview-being-president/,Military,Exaggeration,,,Interviews
